DATE,TIME,LON,LAT
2013-08-17,09:25:23,-118.3374205,34.1027037
2013-08-17,09:26:23,-118.3374205,34.1027037
2013-08-17,09:28:23,-118.3374205,34.1027037
2013-08-17,09:29:23,-118.3374205,34.1027037
2013-08-17,09:30:23,-118.3374205,34.1027037
2013-08-17,09:31:23,-118.3374205,34.1027037
2013-08-17,09:32:24,-118.3374205,34.1027037
2013-08-17,09:34:24,-118.3374205,34.1027037
2013-08-17,09:35:24,-118.3374205,34.1027037
2013-08-17,09:36:24,-118.3374205,34.1027037
2013-08-17,09:37:24,-118.3374205,34.1027037
2013-08-17,09:38:24,-118.3374205,34.1027037
2013-08-17,09:39:24,-118.3374205,34.1027037
2013-08-17,11:58:48,-118.2903036,34.099267
2013-08-17,13:13:49,-118.2903036,34.099267
2013-08-17,13:14:49,-118.2903036,34.099267
2013-08-17,14:26:54,-118.2903036,34.099267
2013-08-17,14:27:54,-118.2903036,34.099267
2013-08-17,16:45:08,-118.2903036,34.099267
2013-08-17,16:46:08,-118.2903036,34.099267
2013-08-17,16:47:08,-118.2903036,34.099267
2013-08-17,17:18:48,-118.3416634,34.1008275
2013-08-17,17:26:10,-118.3393996,34.1017127
2013-08-17,17:27:11,-118.336696,34.1015785
2013-08-17,17:28:12,-118.3317017,34.1015517
2013-08-17,17:29:13,-118.3298939,34.1015839
2013-08-17,17:30:12,-118.3297491,34.1015893
2013-08-17,17:31:12,-118.3299046,34.1044646
2013-08-17,17:32:13,-118.3255273,34.1051673
2013-08-17,17:33:14,-118.3240306,34.1052049
2013-08-17,17:34:15,-118.3182424,34.1051995
2013-08-17,17:35:16,-118.3111613,34.1053283
2013-08-17,17:36:16,-118.3097076,34.1053766
2013-08-17,17:37:16,-118.309257,34.1056501
2013-08-17,17:38:18,-118.3021599,34.1092389
2013-08-17,17:39:18,-118.2943224,34.110639
2013-08-17,17:40:20,-118.287751,34.1118139
2013-08-17,17:41:19,-118.2836204,34.1125541
2013-08-17,17:42:19,-118.2780414,34.1134285
2013-08-17,17:43:20,-118.2736051,34.1154134
2013-08-17,17:44:20,-118.2690989,34.1137772
2013-08-17,17:45:20,-118.2642227,34.110977
2013-08-17,17:46:21,-118.2538855,34.1051834
2013-08-17,17:47:22,-118.2547652,34.0952217
2013-08-17,17:48:22,-118.2598453,34.0868479
2013-08-17,17:49:23,-118.2600116,34.0847504
2013-08-17,17:50:24,-118.2600814,34.0823954
2013-08-17,17:51:24,-118.2589977,34.0814405
2013-08-17,17:52:25,-118.254776,34.0795737
2013-08-17,17:53:25,-118.2497173,34.0777659
2013-08-17,17:54:26,-118.2487517,34.0793913
2013-08-17,17:55:27,-118.2461392,34.0828192
2013-08-17,17:56:28,-118.2448089,34.0856838
2013-08-17,17:57:29,-118.2459676,34.08504 1
2013-08-17,17:59:30,-118.2459676,34.0850454
2013-08-17,18:01:31,-118.2459568,34.08504 1
2013-08-17,18:02:32,-118.2459568,34.08504 1
2013-08-17,18:03:32,-118.2460373,34.0852063
2013-08-17,18:05:15,-118.219364,34.0850992
2013-08-17,18:06:33,-118.219364,34.0850992
2013-08-17,18:08:33,-118.2513505,34.107233
2013-08-17,18:09:33,-118.2513505,34.107233
2013-08-17,18:10:33,-118.2573349,34.1084001
2013-08-17,18:11:33,-118.2679992,34.1128385
2013-08-17,18:12:34,-118.2717436,34.1167759
2013-08-17,18:13:34,-118.2741147,34.1153651
2013-08-17,18:14:35,-118.27618 3,4.1143888
2013-08-17,18:15:35,-118.2832932,34.112758
2013-08-17,18:16:36,-118.2851225,34.1124254
2013-08-17,18:17:37,-118.2852834,34.1101509
2013-08-17,18:18:38,-118.2872253,34.1077476
2013-08-17,18:19:38,-118.2872736,34.1077476
2013-08-17,18:20:38,-118.2874721,34.1048026
2013-08-17,18:21:39,-118.2874828,34.0985584
2013-08-17,18:22:40,-118.2845538,34.0961283
2013-08-17,18:23:41,-118.2807987,34.0928024
2013-08-17,18:24:42,-118.2770222,34.0898358
2013-08-17,18:25:43,-118.274855,34.0853941
2013-08-17,18:26:45,-118.2735031,34.0828514
2013-08-17,18:27:45,-118.2742273,34.0816015
2013-08-17,18:28:45,-118.2701665,34.0865206
2013-08-17,18:29:51,-118.2653121,34.0932582
2013-08-17,18:32:00,-118.2617229,34.0962785
2013-08-17,18:33:00,-118.2617282,34.0963697
2013-08-17,18:34:01,-118.2594752,34.1007363
2013-08-17,18:35:01,-118.2612723,34.1062885
2013-08-17,18:36:01,-118.2656067,34.1077423
2013-08-17,18:37:02,-118.2703381,34.1089653
2013-08-17,18:38:02,-118.2711535,34.1091316
2013-08-17,18:39:02,-118.272618,34.1062402
2013-08-17,18:40:03,-118.2733368,34.1007524
2013-08-17,18:41:04,-118.2762068,34.0964931
2013-08-17,18:42:43,-118.27441,34.0988526
2013-08-17,18:43:43,-118.27441,34.0988526
2013-08-17,18:44:43,-118.27441,34.0988526
2013-08-17,18:45:43,-118.27441,34.0988526
2013-08-17,18:47:43,-118.27441,34.0988526
2013-08-17,18:48:43,-118.27441,34.0988526
2013-08-17,18:49:43,-118.27441,34.0988526
2013-08-17,18:51:43,-118.27441,34.0988526
2013-08-17,18:52:43,-118.27441,34.0988526
2013-08-17,18:53:43,-118.27441,34.0988526
2013-08-17,18:54:44,-118.27441,34.0988526
2013-08-17,18:55:44,-118.27441,34.0988526
2013-08-17,18:56:44,-118.27441,34.0988526
2013-08-17,18:57:44,-118.27441,34.0988526
2013-08-17,18:58:44,-118.27441,34.0988526
2013-08-17,18:59:44,-118.27441,34.0988526
2013-08-17,19:00:44,-118.27441,34.0988526
2013-08-17,19:01:46,-118.27441,34.0988526
2013-08-17,19:02:46,-118.27441,34.0988526
2013-08-17,19:03:46,-118.27441,34.0988526
2013-08-17,19:04:46,-118.27441,34.0988526
2013-08-17,19:05:46,-118.27441,34.0988526
2013-08-17,19:06:46,-118.27441,34.0988526
2013-08-17,19:07:46,-118.27441,34.0988526
2013-08-17,19:08:46,-118.27441,34.0988526
2013-08-17,19:09:46,-118.27441,34.0988526
